bc,category,sanger_muts,canu_muts,shared,sanger_only,canu_only
60,NNRTI,2,2,2,0,0
61,PI Major,0,0,0,0,0
61,PI Accessory,0,0,0,0,0
61,NRTI,1,1,1,0,0
61,NNRTI,0,0,0,0,0
62,PI Major,0,0,0,0,0
62,PI Accessory,0,0,0,0,0
62,NRTI,0,0,0,0,0
62,NNRTI,0,0,0,0,0
63,PI Major,0,0,0,0,0
63,PI Accessory,0,0,0,0,0
63,NRTI,0,0,0,0,0
63,NNRTI,0,0,0,0,0
66,PI Major,0,0,0,0,0
66,PI Accessory,0,0,0,0,0
66,NRTI,2,2,2,0,0
66,NNRTI,1,1,1,0,0
67,PI Major,0,0,0,0,0
67,PI Accessory,0,0,0,0,0
67,NRTI,0,0,0,0,0
67,NNRTI,1,2,0,1,2
68,PI Major,0,0,0,0,0
68,PI Accessory,0,0,0,0,0
68,NRTI,0,0,0,0,0
68,NNRTI,1,1,1,0,0
70,PI Major,0,0,0,0,0
70,PI Accessory,0,0,0,0,0
70,NRTI,0,0,0,0,0
70,NNRTI,0,0,0,0,0
71,PI Major,0,0,0,0,0
71,PI Accessory,0,0,0,0,0
71,NRTI,0,0,0,0,0
71,NNRTI,0,0,0,0,0
72,PI Major,0,0,0,0,0
72,PI Accessory,0,0,0,0,0
72,NRTI,2,2,2,0,0
72,NNRTI,2,2,2,0,0
73,PI Major,0,0,0,0,0
73,PI Accessory,0,0,0,0,0
73,NRTI,0,1,0,0,1
73,NNRTI,0,3,0,0,3
75,PI Major,0,0,0,0,0
75,PI Accessory,1,0,0,1,0
75,NRTI,0,0,0,0,0
75,NNRTI,3,0,0,3,0
76,PI Major,0,0,0,0,0
76,PI Accessory,0,0,0,0,0
76,NRTI,0,4,0,0,4
76,NNRTI,0,2,0,0,2
78,PI Major,0,4,0,0,4
78,PI Accessory,0,2,0,0,2
78,NRTI,3,5,3,0,2
78,NNRTI,2,4,1,1,3
81,PI Major,0,0,0,0,0
81,PI Accessory,0,0,0,0,0
81,NRTI,5,0,0,5,0
81,NNRTI,3,1,0,3,1
82,PI Major,0,0,0,0,0
82,PI Accessory,0,0,0,0,0
82,NRTI,0,0,0,0,0
82,NNRTI,1,2,0,1,2
83,PI Major,0,0,0,0,0
83,PI Accessory,0,0,0,0,0
83,NRTI,0,0,0,0,0
83,NNRTI,2,0,0,2,0
84,PI Major,0,0,0,0,0
84,PI Accessory,0,0,0,0,0
84,NRTI,0,0,0,0,0
84,NNRTI,0,2,0,0,2
85,PI Major,0,0,0,0,0
85,PI Accessory,0,0,0,0,0
85,NRTI,0,0,0,0,0
85,NNRTI,2,0,0,2,0
86,PI Major,0,0,0,0,0
86,PI Accessory,0,0,0,0,0
86,NRTI,0,0,0,0,0
86,NNRTI,2,2,2,0,0
87,PI Major,0,0,0,0,0
87,PI Accessory,0,0,0,0,0
87,NRTI,0,0,0,0,0
87,NNRTI,1,1,1,0,0
88,PI Major,0,0,0,0,0
88,PI Accessory,0,0,0,0,0
88,NRTI,0,0,0,0,0
88,NNRTI,2,2,2,0,0
89,PI Major,0,0,0,0,0
89,PI Accessory,0,0,0,0,0
89,NRTI,1,1,1,0,0
89,NNRTI,2,2,2,0,0
90,PI Major,0,0,0,0,0
90,PI Accessory,0,0,0,0,0
90,NRTI,1,1,1,0,0
90,NNRTI,1,1,1,0,0
91,PI Major,2,1,0,2,1
91,PI Accessory,0,0,0,0,0
91,NRTI,2,2,1,1,1
91,NNRTI,1,1,1,0,0
92,PI Major,0,0,0,0,0
92,PI Accessory,0,0,0,0,0
92,NRTI,0,0,0,0,0
92,NNRTI,0,0,0,0,0
93,PI Major,0,0,0,0,0
93,PI Accessory,0,0,0,0,0
93,NRTI,1,1,1,0,0
93,NNRTI,2,2,2,0,0
94,PI Major,0,0,0,0,0
94,PI Accessory,0,0,0,0,0
94,NRTI,6,6,6,0,0
94,NNRTI,2,2,2,0,0
95,PI Major,0,0,0,0,0
95,PI Accessory,0,0,0,0,0
95,NRTI,0,0,0,0,0
95,NNRTI,0,0,0,0,0
96,PI Major,0,0,0,0,0
96,PI Accessory,0,0,0,0,0
96,NRTI,1,1,0,1,1
96,NNRTI,1,1,1,0,0
